stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Users\Kanjiklub\Documents\GitHub\JA_PROJ\Zrodla\MAIN\x64\Debug\allegro5.cfg r
display  D   display_settings.c:527  _al_score_display_settings       [   0.05518] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05519] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05522] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.05524] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05526] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.05528] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05530] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.05532] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05535] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.05536] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05539] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.05541] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05543] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.05545] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05547] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.05549] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05551] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05553] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05556] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05558] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05560] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.05562] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05564] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.05566] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05568] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.05570] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05573] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.05575] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05577] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.05579] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05581] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.05583] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05586] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.05588] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05590] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05592] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05595] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05596] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05599] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.05601] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05603] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.05605] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05607] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.05609] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05611] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.05613] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05616] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.05618] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05620] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.05622] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05624] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.05626] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05628] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05630] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05633] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05634] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05637] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.05639] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05644] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.05647] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05649] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.05651] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05653] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.05655] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05658] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.05660] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05662] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.05664] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05666] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.05668] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05670] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05672] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05675] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05677] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05679] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.05681] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05683] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.05685] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05687] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.05689] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05692] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.05694] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05696] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.05698] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05700] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.05702] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05704] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.05706] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05709] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05711] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05713] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05715] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05718] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05719] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05722] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05724] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05726] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05728] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05730] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05732] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05734] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05736] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05739] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05741] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05743] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05745] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05747] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05749] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05751] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05753] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05756] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05758] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05760] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05762] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05764] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05766] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05769] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05770] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05773] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05775] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05777] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05779] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05782] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05783] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05786] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05788] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05790] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05792] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05794] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05796] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05799] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05800] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05803] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05805] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05807] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05809] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05811] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05813] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05816] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05817] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05820] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05822] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05824] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05826] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05828] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05830] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05833] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05834] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05837] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05839] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05841] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05843] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05846] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05848] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05850] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05852] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05854] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05856] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05858] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05860] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05863] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05865] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05867] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05869] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05871] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05873] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05875] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05877] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05880] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05881] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05884] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05886] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05888] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05890] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05893] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05895] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05898] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05900] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05902] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05904] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05910] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05912] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05914] Single Buffer requirement not met.
